Time(ms),TPS,AFR
91056,1006,931
91106,1006,932
91156,1006,932
91206,1006,932
91256,1006,932
91307,1006,932
91357,1006,932
91407,1006,932
91457,1006,932
91507,1006,932
91557,1006,932
91607,1006,932
91657,1006,931
91707,1006,930
91757,1006,930
91807,1006,929
91857,1006,930
91907,1006,930
91957,1006,929
92007,1006,929
92057,1006,930
92107,1006,931
92157,1006,931
92207,1006,932
92257,1006,933
92307,1006,932
92357,1006,932
92407,1006,931
92457,1006,932
92507,1006,931
92557,1006,932
92607,1006,932
92657,1006,933
92707,1006,933
92758,1006,933
92808,1006,933
92858,1006,932
92908,1006,932
92958,1006,931
93008,1006,947
93058,1006,946
93108,1006,944
93158,1006,942
93208,1006,937
93258,1006,933
93308,1006,931
93358,1006,931
93408,1006,930
93458,1006,929
93508,1006,928
93558,1006,928
93608,1006,929
93658,1006,928
93708,1006,928
93758,1006,927
93808,1006,928
93858,1006,928
93908,1006,929
93958,1006,935
94008,1006,936
94058,1006,935
94108,1006,934
94158,1006,935
94208,1006,934
94258,1006,935
94308,1006,934
94358,1006,935
94408,1006,933
94458,1006,934
94508,1006,934
94558,1006,934
94608,1006,934
94658,1006,934
94708,1006,933
94758,1006,933
94808,1006,932
94858,1006,932
94908,1006,933
94958,1006,933
95008,1006,932
95058,1006,932
95108,1006,932
95158,1006,932
95208,1006,933
95258,1006,933
95308,1006,934
95358,1006,934
95408,1006,934
95458,1006,935
95508,1006,934
95558,1006,934
95608,1006,933
95659,1006,933
95709,1006,933
95759,1006,934
95809,1006,934
95859,1006,933
95909,1006,933
95959,1006,934
96009,1006,933
96059,1006,934
96109,1006,934
96159,1006,934
96209,1006,933
96259,1006,933
96309,1006,934
96359,1006,935
96409,1006,934
96459,1006,935
96509,1006,934
96559,1006,934
96609,1006,933
96659,1006,932
96709,1006,931
96759,1006,931
96809,1006,930
96859,1006,930
96909,1006,929
96959,1006,929
97009,1006,929
97059,1006,929
97110,1006,930
97160,1006,931
97210,1006,931
97260,1006,932
97310,1006,932
97360,1006,932
97410,1006,932
97460,1006,931
97510,1006,930
97560,1006,930
97610,1006,931
97660,1006,931
97710,1006,931
97760,1006,929
97810,1006,928
97860,1006,927
97910,1006,925
97960,1006,922
98010,1006,920
98060,1006,920
98110,1006,929
98160,1006,932
98210,1006,933
98260,1006,933
98310,1006,934
98360,1006,932
98410,1006,932
98460,1006,932
98510,1006,932
98560,1006,932
98610,1006,933
98660,1006,933
98710,1006,933
98760,1006,932
98810,1006,933
98860,1006,932
98910,1006,931
98960,1006,931
99010,1006,930
99060,1006,930
99110,1006,930
99160,1006,930
99210,1006,931
99260,1006,930
99310,1006,930
99360,1006,930
99410,1006,930
99460,1006,929
99510,1006,929
99560,1006,929
99610,1006,928
99660,1006,928
99710,1006,927
99760,1006,925
99810,1006,922
99860,1006,921
99910,1006,924
99960,1006,924
100011,1006,923
100061,1006,923
100111,1006,923
100161,1006,922
100211,1006,922
100261,1006,921
100311,1006,921
100361,1006,920
100411,1006,918
100461,1006,913
100511,1006,910
100561,1006,905
100611,1006,903
100661,1006,907
100711,1006,907
100761,1006,906
100811,1006,911
100861,1006,912
100911,1006,910
100961,1006,911
101011,1006,910
101061,1006,909
101111,1006,909
101161,1006,909
101211,1006,909
101261,1006,912
101311,1006,912
101361,1006,912
101411,1006,912
101462,1006,911
101512,1006,910
101562,1006,910
101612,1006,909
101662,1006,907
101712,1006,905
101762,1006,906
101812,1006,905
101862,1006,905
101912,1006,902
101962,1006,900
102012,1006,899
102062,1006,899
102112,1006,899
102162,1006,899
102212,1006,898
102262,1006,898
102312,1006,897
102362,1006,897
102412,1006,896
102462,1006,896
102512,1006,901
102562,1006,907
102612,1006,909
102662,1006,911
102712,1006,911
102762,1006,911
102812,1006,911
102862,1006,912
102912,1006,912
102962,1006,912
103012,1006,912
103062,1006,911
103112,1006,912
103162,1006,911
103212,1006,911
103262,1006,911
103312,1006,911
103362,1006,912
103412,1006,910
103462,1006,909
103512,1006,912
103562,1006,912
103612,1006,912
103662,1006,912
103712,1006,912
103762,1006,912
103812,1006,912
103862,1006,911
103912,1006,911
103962,1006,912
104012,1006,911
