Time(ms),TPS,AFR,TMP,VEL
187650,20,3,146,16
187700,20,3,146,16
187750,21,3,146,16
187800,20,3,146,16
187850,20,3,146,16
187900,20,3,147,16
187950,20,3,146,16
188000,21,4,147,16
188050,20,2,146,16
188100,20,3,147,18
188150,20,3,146,18
188200,20,2,146,18
188250,21,4,146,18
188300,20,4,146,18
188350,20,3,146,18
188400,20,3,146,18
188450,20,3,146,18
188500,21,3,146,18
188550,20,3,146,18
188600,19,5,147,18
188650,20,3,146,18
188700,20,3,146,18
188750,20,4,147,18
188800,20,3,146,18
188850,20,3,146,18
188900,19,5,147,18
188950,20,3,146,18
189000,21,3,147,18
189050,19,3,147,18
189100,20,3,146,18
189150,20,3,146,18
189200,19,5,147,18
189250,20,3,146,18
189300,20,3,146,18
189350,19,5,147,18
189400,20,3,146,18
189450,20,3,146,18
189500,19,5,147,18
189550,20,3,146,18
189600,20,3,146,18
189650,20,3,146,18
189700,20,3,147,18
189750,20,3,146,18
189800,20,4,147,18
189850,20,3,146,18
189900,20,3,146,18
189950,19,5,147,18
190000,20,3,147,18
190050,20,2,146,18
190100,20,5,148,18
190150,20,3,146,18
190200,20,3,146,18
190250,19,5,147,18
190300,20,3,146,18
190350,21,4,146,18
190400,19,4,147,18
190450,20,3,146,18
190500,20,3,146,18
190550,20,3,147,18
190600,21,3,147,18
190650,20,3,146,18
190700,20,4,147,18
190750,20,3,146,18
190800,20,3,146,18
190850,20,3,147,18
190900,20,3,146,18
190950,20,3,146,18
191000,20,3,147,18
191050,20,3,146,18
191100,21,4,147,18
191150,20,3,146,18
191200,20,3,146,18
191250,19,3,146,18
191300,20,2,146,18
191350,20,3,146,18
191400,20,3,146,18
191450,20,3,146,18
191500,20,3,146,18
191550,20,3,146,18
191600,20,2,146,18
191650,20,3,146,18
191700,20,3,146,18
191750,20,3,146,18
191800,20,3,147,18
191850,20,3,146,18
191900,20,3,146,18
191950,20,3,146,18
192000,19,5,147,18
192050,20,3,146,18
192100,20,3,146,18
192150,19,4,147,18
192200,21,3,146,18
192250,20,3,146,18
192300,20,4,147,18
192350,20,3,146,18
192400,20,3,147,18
192450,20,6,147,18
192500,20,3,146,18
192550,20,3,146,18
192600,19,5,147,18
192650,20,3,146,18
192700,20,4,147,18
192750,19,5,147,18
192800,20,3,146,18
192850,20,3,146,18
192900,19,4,147,18
192950,21,4,146,18
193000,20,3,146,18
193050,19,5,147,18
193100,20,3,146,18
193150,20,2,146,18
193200,20,5,147,18
193250,20,3,146,18
193300,20,3,146,18
193350,19,5,147,18
193400,20,2,146,18
193450,21,3,147,18
193500,19,4,147,18
193550,20,3,146,18
193600,20,3,146,18
193650,20,4,147,18
193700,21,4,146,18
193750,20,3,146,18
193800,20,3,148,18
193850,20,3,146,18
193900,20,3,146,18
193950,20,5,147,18
194000,20,3,146,18
194050,20,3,147,18
194100,19,4,147,18
194150,20,3,147,18
194200,21,4,146,18
194250,19,5,147,18
194300,20,3,146,18
194350,20,3,146,18
194400,20,4,147,18
194450,20,3,147,18
194500,20,3,147,18
194550,19,4,147,18
194600,20,3,146,18
194650,20,3,146,18
194700,20,4,147,16
194750,20,3,146,16
194800,20,3,146,16
194850,19,5,147,16
194900,20,3,146,16
194950,20,3,146,16
195000,20,4,147,16
195050,20,3,146,16
195100,21,3,147,16
195150,20,5,147,16
195200,20,3,146,16
195250,20,3,146,16
195300,19,5,147,16
195350,21,4,146,16
195400,20,3,146,16
195450,19,3,146,16
195500,20,3,145,16
195550,20,3,147,16
195600,19,5,147,16
195650,20,3,146,16
195700,20,3,146,16
195750,21,4,147,16
195800,20,3,145,18
195850,20,3,146,18
195900,20,3,146,18
195950,20,3,146,18
196000,20,3,146,18
196050,20,3,146,18
196100,20,3,146,18
196150,20,3,146,18
196200,19,3,146,18
196250,20,3,146,18
196300,20,3,146,18
196350,20,3,147,18
196400,21,4,146,18
196450,20,3,146,18
196500,19,4,147,18
196550,20,2,146,18
196600,20,3,146,18
196650,20,3,146,18
196700,20,2,146,18
196750,20,3,146,18
196800,20,3,147,18
196850,20,2,146,18
196900,20,3,146,16
196950,20,3,146,16
197000,20,3,146,16
197050,20,3,146,16
197100,20,3,146,16
197150,20,2,146,16
197200,20,3,146,16
197250,20,4,147,16
197300,20,3,146,16
197350,21,4,147,16
197400,19,3,146,16
197450,20,3,146,16
197500,20,3,146,16
197550,20,5,147,16
197600,20,3,146,16
197650,20,3,146,16
197700,19,3,146,16
197750,21,3,146,16
197800,20,3,146,16
197850,19,5,147,16
197900,21,3,146,16
197950,20,3,146,16
198000,20,3,147,16
198050,20,3,147,16
198100,20,3,146,16
198150,19,5,146,16
198200,20,3,146,16
